Master Filename,Level of Description,Title,Date,Scope and Contents,Creator,Associated Person (Machine Generated),Subject,Location,Format of Material,Language,Cybernetic Classification (Machine Generated),Classification Certainty (Machine Generated),Machine-extracted Feature (Machine Generated),Overall Sentiment (Machine Generated),Percent Positive Sentiment (Machine Generated),Percent Negative Sentiment (Machine Generated),Percent Neutral Sentiment (Machine Generated),Rights,Parent Collection,Repository,Collection Identifier
1106834_2_RealizationOfBiologicalComputers8_9_1960.pdf,File,"The Realization of Biological Computers, Quarterly Progress Report Nos. 8 and 9",1960,"Biological Computer Laboratory Publications including proposals, reports, technical reports and publications lists for research projects supported by the Air Force, Navy and National Aeronautics and Space Administration contracts and grants for research on the technological realization of computational mechanisms observed in living organisms, the theory and application of computational principles, the mechanization of cognitive processes, direct access intelligence systems and information processing.","von Foerster, Heinz",,Biological Computer Laboratory (BCL),Urbana (IL),Publication,eng,Personal,"Personal, 99.93%||Psychology, 0.06%||Math, 0.01%||Machines, 0.00%",,0.099054545,5.606060606,3.412121212,90.97878788,In Copyright - Educational Use Permitted&&<http://rightsstatements.org/vocab/InC-EDU/1.0/>,"Biological Computer Laboratory Publications, 1957-1976",University of Illinois at Urbana-Champaign. University Archives,11/6/834
1106834_2_RealizationOfBiologicalComputers3_1958.pdf,File,"The Realization of Biological Computers, Quarterly Progress Report No. 3",1958,"Biological Computer Laboratory Publications including proposals, reports, technical reports and publications lists for research projects supported by the Air Force, Navy and National Aeronautics and Space Administration contracts and grants for research on the technological realization of computational mechanisms observed in living organisms, the theory and application of computational principles, the mechanization of cognitive processes, direct access intelligence systems and information processing.","von Foerster, Heinz",,Biological Computer Laboratory (BCL),Urbana (IL),Publication,eng,Personal,"Personal, 100.00%||Machines, 0.00%||Math, 0.00%||Psychology, 0.00%",Biological||Vision||Technology||Sun||Signal||Program||Noise||network||Network||Hand||Function||Ear||Computer||Component||Circuit||Cat||State||Purpose||Allo||Value||Understanding||Time||Systems||Science||Process||Organization||Experiment||Environment||Engineering||Design||Theory||Control||Art||Action||Order||System||Model||Mind||Memory||Mechanism||Man||Laboratory||Information||Nature||Methods||Human||Future,0.9918,9.4,4.3,86.2,In Copyright - Educational Use Permitted&&<http://rightsstatements.org/vocab/InC-EDU/1.0/>,"Biological Computer Laboratory Publications, 1957-1976",University of Illinois at Urbana-Champaign. University Archives,11/6/834
1106834_2_DiscreteTwoDimensionalProperty_1962.pdf,File,"TR No. 5: Discrete Two Dimensional Property Detectors, Douglas H. Taylor, April  15, 1962",1962,"Biological Computer Laboratory Publications including proposals, reports, technical reports and publications lists for research projects supported by the Air Force, Navy and National Aeronautics and Space Administration contracts and grants for research on the technological realization of computational mechanisms observed in living organisms, the theory and application of computational principles, the mechanization of cognitive processes, direct access intelligence systems and information processing.","Taylor, Douglas H.",,property detector,Urbana (IL),Publication,eng,Personal,"Personal, 99.27%||Math, 0.70%||Psychology, 0.02%||Machines, 0.01%",Vision||network||Network||Hand||Function||Ear||Circuit||Cat||State||Purpose||Goal||Allo||Value||Truth||Time||Systems||Representation||Organization||Order||Observing||System||Mathematics||Man||Laboratory||Information||Methods||Identity||Experiment||Engineering||Design||Theory||Concept||Cognition||effect||Cause||Art||Action||Synthesis||Structure||Science,0.9994,9.8,3.6,86.6,In Copyright - Educational Use Permitted&&<http://rightsstatements.org/vocab/InC-EDU/1.0/>,"Biological Computer Laboratory Publications, 1957-1976",University of Illinois at Urbana-Champaign. University Archives,11/6/834
1106834_3_AutopoiesisOrganizationLivingSystems_1974.pdf,File,"Varela, F.G., Maturana, H.R., and Uribe, R.: ""Autopoiesis: The Organization of Living Systems, its Characterization and a Model"", Biosystems, 5 (4), 187-196 (1974).",1974,"Biological Computer Laboratory Publications including proposals, reports, technical reports and publications lists for research projects supported by the Air Force, Navy and National Aeronautics and Space Administration contracts and grants for research on the technological realization of computational mechanisms observed in living organisms, the theory and application of computational principles, the mechanization of cognitive processes, direct access intelligence systems and information processing.","Uribe, Ricardo B.||Maturana, Humberto R.||Varela, Francisco",Varela||Maturana,autopoiesis,Santiago (Chile),Publication,eng,Personal,"Personal, 82.48%||Psychology, 17.52%||Math, 0.00%||Machines, 0.00%",Hand||Game||Function||Eye||Ear||Computer||Component||Cat||Algorithm||State||Requisite||Purpose||Visual||Distinction||Autopoiesis||Automata||Allo||Value||Time||Systems||Synthesis||Structure||Space||Process||Organization||Organism||Order||Observation||System||Model||Man||Laboratory||Knowledge||Nature||Experiment||Evolution||Environment||Domain||Design||Theory||Control||effect||Biology||Behavior||Autonomy||Auto||Art||Action||Map||Varela||Maturana||Biological||Vision||Tool||Sun||network||Network,0.9992,7.4,1.9,90.8,In Copyright - Educational Use Permitted&&<http://rightsstatements.org/vocab/InC-EDU/1.0/>,"Biological Computer Laboratory Publications, 1957-1976",University of Illinois at Urbana-Champaign. University Archives,11/6/834
1106834_3_OnConstructingReality_1973.pdf,File,"Von Foerster, Heinz, ""On Constructing a Reality,"" BCL Publication 234",1973,"Biological Computer Laboratory Publications including proposals, reports, technical reports and publications lists for research projects supported by the Air Force, Navy and National Aeronautics and Space Administration contracts and grants for research on the technological realization of computational mechanisms observed in living organisms, the theory and application of computational principles, the mechanization of cognitive processes, direct access intelligence systems and information processing.","von Foerster, Heinz",Pask||Maturana||Macy,environment||reality,Urbana (IL),Publication,eng,Personal,"Personal, 100.00%||Psychology, 0.00%||Math, 0.00%||Machines, 0.00%",Pask||Maturana||Macy||Biological||American||Vision||Tool||Sun||Signal||Reflex||Program||Noise||network||Network||Nerve||Machine||Hear||Hand||Game||Function||Eye||Earth||Ear||Computer||Code||Brain||Animal||Trivial||State||variety||Purpose||Open||Visual||Neural||Homeostasis||Emergence||Distinction||Artificial||Allo||Adaptation||Variety||Understanding||Time||Systems||Structure||Space||Science||Representation||Reality||Process||Physiology||Physics||Perception||Organization||Organism||Order||Observation||System||Nervous||Mind||Meaning||Man||Learning||Law||Laboratory||Knowledge||Nature||World||Methods||Imagination||Identity||Hypothesis||Human||Freedom||Experiment||Evolution||Ethics||Environment||Engineering||Dream||Design||Description||Theory||Control||Concept||Cognition||effect||Cause||Biology||Behavior||Autonomy||Auto||Art||Action||Cat,0.9993,9.8,5.1,85.1,In Copyright - Educational Use Permitted&&<http://rightsstatements.org/vocab/InC-EDU/1.0/>,"Biological Computer Laboratory Publications, 1957-1976",University of Illinois at Urbana-Champaign. University Archives,11/6/834
1106026_49_Ficken.pdf,File,"Ficken, Janet",,"Papers of Heinz von Foerster (1911-2002), professor of electrical engineering (1949-74) and biophysics (1962-74) and director of Biological Computer Laboratory (BCL) (1958-74) including correspondence relating to cybernetics, BCL, futurism, alternative living, cognitive processes, artificial intelligence, artificial language. Correspondents include W. Ross Ashby, Murray Babcock, Stafford Beer, Herbert Brun, Paul Drake, Victor Frankl, Erich Fromm, Herbert Goldhor, Gottard Gunther, Ivan Illich, Howard Lawler, John Lilly, Lars Lofgren, Warren McCulloch, Humberto Maturana, Margaret Mead, Gordon Pask, Rowena Swanson, Stuart Umpleby and Mrs. Norbert Wiener.","Ficken, Janet||von Foerster, Heinz",,,Urbana (IL),Correspondence,eng,Math,"Math, 35.44%||Machines, 24.54%||Psychology, 20.11%||Personal, 19.91%",Ear||State||Open||Art||Action,0.5859,9.6,3.5,86.9,In Copyright - Educational Use Permitted&&<http://rightsstatements.org/vocab/InC-EDU/1.0/>,"Heinz von Foerster Papers, 1925-2000",University of Illinois at Urbana-Champaign. University Archives,11/6/26
1106026_49_Ginsberg_1976.pdf,File,"Ginsberg, Robert, 1976",1976,"Papers of Heinz von Foerster (1911-2002), professor of electrical engineering (1949-74) and biophysics (1962-74) and director of Biological Computer Laboratory (BCL) (1958-74) including correspondence relating to cybernetics, BCL, futurism, alternative living, cognitive processes, artificial intelligence, artificial language. Correspondents include W. Ross Ashby, Murray Babcock, Stafford Beer, Herbert Brun, Paul Drake, Victor Frankl, Erich Fromm, Herbert Goldhor, Gottard Gunther, Ivan Illich, Howard Lawler, John Lilly, Lars Lofgren, Warren McCulloch, Humberto Maturana, Margaret Mead, Gordon Pask, Rowena Swanson, Stuart Umpleby and Mrs. Norbert Wiener.","Ginsberg, Robert||von Foerster, Heinz",,artificial intelligence,Urbana (IL)||Toronto (Canada),Correspondence,eng,Math,"Psychology, 9.77%||Personal, 14.52%||Machines, 17.31%||Math, 58.40%",Intelligence||Laboratory||Man||Science||Time||intelligence||State||Cat||Computer||Ear||Biological,0.9186,12.7,2.2,85.1,In Copyright - Educational Use Permitted&&<http://rightsstatements.org/vocab/InC-EDU/1.0/>,"Heinz von Foerster Papers, 1925-2000",University of Illinois at Urbana-Champaign. University Archives,11/6/26
1106026_49_Hess_1976.pdf,File,"Hess, Karl, 1976",1976,"Papers of Heinz von Foerster (1911-2002), professor of electrical engineering (1949-74) and biophysics (1962-74) and director of Biological Computer Laboratory (BCL) (1958-74) including correspondence relating to cybernetics, BCL, futurism, alternative living, cognitive processes, artificial intelligence, artificial language. Correspondents include W. Ross Ashby, Murray Babcock, Stafford Beer, Herbert Brun, Paul Drake, Victor Frankl, Erich Fromm, Herbert Goldhor, Gottard Gunther, Ivan Illich, Howard Lawler, John Lilly, Lars Lofgren, Warren McCulloch, Humberto Maturana, Margaret Mead, Gordon Pask, Rowena Swanson, Stuart Umpleby and Mrs. Norbert Wiener.","Olson, Robert||Hoover, Paul||Hess, Karl||von Foerster, Heinz",Turing,Center for Advanced Study (CAS),Urbana (IL),Correspondence,eng,Personal,"Personal, 96.10%||Math, 3.48%||Psychology, 0.38%||Machines, 0.04%",Society||Vision||Technology||Sun||Program||Ear||State||Value||Scientific||Science||Man||Learning||World||Human||Experiment||Engineering||Culture||Art||Turing,0.9867,18.2,5.5,76.3,In Copyright - Educational Use Permitted&&<http://rightsstatements.org/vocab/InC-EDU/1.0/>,"Heinz von Foerster Papers, 1925-2000",University of Illinois at Urbana-Champaign. University Archives,11/6/26
1106026_49_Floyd_1975.pdf,File,"Floyd, Robert W., 1975",1975,"Papers of Heinz von Foerster (1911-2002), professor of electrical engineering (1949-74) and biophysics (1962-74) and director of Biological Computer Laboratory (BCL) (1958-74) including correspondence relating to cybernetics, BCL, futurism, alternative living, cognitive processes, artificial intelligence, artificial language. Correspondents include W. Ross Ashby, Murray Babcock, Stafford Beer, Herbert Brun, Paul Drake, Victor Frankl, Erich Fromm, Herbert Goldhor, Gottard Gunther, Ivan Illich, Howard Lawler, John Lilly, Lars Lofgren, Warren McCulloch, Humberto Maturana, Margaret Mead, Gordon Pask, Rowena Swanson, Stuart Umpleby and Mrs. Norbert Wiener.","von Foerster, Heinz||Floyd, Robert W.",Beer,"Flores, Fernando, 1943-||Beer, Stafford, 1926-2002",Stanford (CA)||Urbana (IL),Correspondence,eng,Math,"Machines, 10.10%||Psychology, 12.86%||Personal, 22.06%||Math, 54.99%",Art||Engineering||Law||Man||Science||Time||State||Computer||Beer,0.9337,17.7,0,82.3,In Copyright - Educational Use Permitted&&<http://rightsstatements.org/vocab/InC-EDU/1.0/>,"Heinz von Foerster Papers, 1925-2000",University of Illinois at Urbana-Champaign. University Archives,11/6/26
1106026_49_Head_1976.pdf,File,"Head, Eileen, 1976",1976,"Papers of Heinz von Foerster (1911-2002), professor of electrical engineering (1949-74) and biophysics (1962-74) and director of Biological Computer Laboratory (BCL) (1958-74) including correspondence relating to cybernetics, BCL, futurism, alternative living, cognitive processes, artificial intelligence, artificial language. Correspondents include W. Ross Ashby, Murray Babcock, Stafford Beer, Herbert Brun, Paul Drake, Victor Frankl, Erich Fromm, Herbert Goldhor, Gottard Gunther, Ivan Illich, Howard Lawler, John Lilly, Lars Lofgren, Warren McCulloch, Humberto Maturana, Margaret Mead, Gordon Pask, Rowena Swanson, Stuart Umpleby and Mrs. Norbert Wiener.","Head, Eileen||von Foerster, Heinz",,Association for Computing Machinery (ACM),Houston (TX)||Urbana (IL),Correspondence,eng,Math,"Math, 55.16%||Machines, 20.91%||Psychology, 12.02%||Personal, 11.90%",Program||Machine||Ear||Computer||Allo||Science||System||Information||Art,0.9872,10,1,89,In Copyright - Educational Use Permitted&&<http://rightsstatements.org/vocab/InC-EDU/1.0/>,"Heinz von Foerster Papers, 1925-2000",University of Illinois at Urbana-Champaign. University Archives,11/6/26
